image,Text,Label,Hate Categories,Targeted Groups
meme_35.jpg,"ম্যাডাম, আপনি কি প্রেগন্যান্ট? দেখবেন আপনার প্রথম সন্তান ছেলে হবে আচ্ছা, তুমি কি করে জানলে যে ছেলে হবে?? গতকাল তুমি চেয়ারের উপরে পা তুলে বসে ছিলে, তখন আমি বাচ্চাটার মোচ দেখতে পেয়েছিলাম",Hate,Personal Offence,Individual
meme_36.jpg,ভাই আপনিতো Black লাভার তাহলে বিড়াল কেন গোলাপি চান...,Non Hate,,
meme_37.jpg,"তুমিতো পড়াশুনায় একেবারে দুর্বল
তোমার বয়সে আমি এর থেকে অনেক কঠিন কঠিন অঙ্কের সমাধান করে দিতাম
আপনি ভালো টিচার পেয়ে গেলেন সবার ভাগ্য এত ভালো নয়",Hate,Personal Offence,Individual
meme_38.jpg,সব-ই মোটামুটি  শুধু সানগ্লাস পরে পাড়া থেকে হাঁটতে পারিনা ,Non Hate,,
meme_39.jpg,"কোথায় যেন দেখেছি আল্লাহ, মনে যেন না পরে আমি তার বন্ধুর এক্স ছিলাম",Non Hate,,
meme_40.jpg,বাস কন্ডাক্টর: দেখি দিদি আপনারটা মহিলা: নামার আগে দেবো ,Non Hate,,
meme_41.jpg,"বলো আমার জান বসন্তী, মজা পেয়েছ? অনেক মজা পেলাম কুত্তা, আলো জ্বালিয়ে দেখে... আমি বসন্তী না, তোমার মাসি।",Hate,Abusive,Individual
meme_42.jpg,"কিরে কাল একটা ছেলের সাথে তোকে দেখলাম BF নাকি? আপনাকেও সকালে একটা মাছ ওয়ালার সাথে দেখলাম, affair নাকি? শুয়ো.......",Hate,Abusive,Individual
meme_43.jpg,তোমার নাকি বিয়ে ঠিক হয়েছে... তা ছেলে কি করে?  আপনার সাথে কাকু রাতে যা করে,Non Hate,,
meme_44.jpg,আমি তোমার বমি বমি ভাবের কারণ হতে চাই  তোমাকে দেখলে আমার এমনি তেই বমি পায়,Hate,Personal Offence,Individual
meme_45.jpg,"বৌমা, সংসার সুখী হয় রমনীর গুণে. থাক মা, আপনার ছেলের টা প্রতি রাতে মুখে নিতে হবে এইটা বললেই তো হয়",Hate,Abusive,Community
meme_46.jpg,"কি রে বান্ধবী তোর ফুলশয্যা কেমন কাটলো? আর বলিস না, প্রথমে কয়েকবার মিসকল দিল, তারপর যখন কল ঢুকলো তখন ব্যালেন্স শেষ..!",Non Hate,,
meme_47.jpg,ওই ওঠ ... এটা লেডিস সিট ফেসবুকে আমার নাম এঞ্জেল প্রিয়া,Non Hate,,
meme_48.jpg," আমি আপনার মেয়ের হাত চাইতে এসেছি সোনাই সোনাই সোলাই সোনাই সোদা সোমাই সোনাই সেচনাই সোন কেন? কারণ, সিঙ্গেল থাকতে থাকতে আমার হাত ব্যাথা হয়ে গেছে",Non Hate,,
meme_49.jpg,"হ্যাঁ তো বাচ্চারা, কালকে আমি কোথায় ছিলাম?? ""ম্যাডাম"", কালকে আপনি ..গণিত এর স্যারের সঙ্গে গ্রন্থাগারে শুয়ে ছিলেন।।",Hate,Abusive,Individual
meme_50.jpg,"GF : Bye আম্মু চিলাইতাছে
BF : আব্বুকে বলো আস্তে দিতে",Non Hate,,
meme_51.jpg,হাতি আকাশে উড়তে পারে হ্যা ঠিক বলেছো পাখি আকাশে উড়ে কোনো প্রমান আছে?,Hate,Personal Offence,Individual
meme_52.jpg,সময়মত ভাত খেয়ে নিও ধন্যবাদ তুমি না বললে তো আমি গু খেয়ে নিতাম,Hate,Abusive,Individual
meme_53.jpg,আমার বিয়ে হয়ে যাচ্ছে কিছু একটা করো চুপ কর বিয়ে টা আমার সাথেই হচ্ছে ওহ সরি এর আগেও কয়েকজনকে বলেছিলাম তো ভুলে গেসি,Non Hate,,
meme_54.jpg,"বাবু, আমায় চিনতে পারছো?
না কাকু, চিনতে পারলাম না
চিনবেই বা কীকরে! তোমার সাথে যখন দেখা হয়েছিল তখন তুমি অনেক ছোট ছিলে
ঘটে যখন এতই বুদ্ধি, তাহলে এমন ফালতু প্রশ্ন জিজ্ঞেস করলে কেন?",Hate,Abusive,Individual
meme_55.jpg,তোমার ফোনে এতো ছেলেদের নম্বর কেনো? এরা সবাই আমার বয়ফ্রেন্ড বিয়ের আগে তো বলনি তোমার এত বয়ফ্রেন্ড আছে মনে করে দেখো বলেছিলাম তুমি লাখে এক,Non Hate,,
meme_56.jpg,"রিলেশন আমিও করতে পারতাম
কিন্তু রোমান্টিক কথা শুনলে হাসি পাই আমার",Non Hate,,
meme_57.jpg, তুমি অনেক মাতুরে মাতুরে কি? আরে মাতুরে বুঝো না? mature? হ্যা এই মাতুরে,Non Hate,,
meme_58.jpg,"স্যার, আমরা পড়াশোনা করি কেন?
বড়ো হয়ে গাড়ি চড়বে বলে
তাহলে আপনি কেনো সাইকেল নিয়ে আসেন?
শালা.....",Hate,Abusive,Individual
meme_59.jpg,"বৌমা শোনো, আমি কিন্তু এক বছরের মধ্যেই নাতি বা নাতনির মুখ দেখতে চাই
আপনার যখন এতই তাড়া, তাহলে বলতেই পারতেন বিয়ের আগেই পয়দা করে নিতাম",Hate,Abusive,Individual
meme_60.jpg,"তোমার GF আছে?
এটা জিজ্ঞেস করো, কয়টা আছে?
কয়টা আছে?
একটাও নেই",Non Hate,,
meme_61.jpg,"জামাই, অনেকদিন পর আমাদের বাড়িতে এলে, বলো কি খাবে? চা না কোল্ড ড্রিংকস?
যতক্ষণ না চা হচ্ছে ততক্ষণ কোল্ড ড্রিংকসটা দিন, তারপর চা খাবো
এই জন্যই ডাকি না",Hate,Personal Offence,Individual
meme_62.jpg,"যখন আকাশে খুব মেঘ করে আর বৃষ্টি পরে, তখন তোমার কথা খুব মনে পরে
সত্যি? কেনো সোনা?
কারণ আমার ছাতাটা এখনো তোর কাছে, কবে দিবি?",Non Hate,,
meme_63.jpg,"রিকশায় কোনো সুন্দরী মেয়ের পাশে যেই বসি
রিকশাওয়ালা:
দাদা আপনি সামনে চলে আসুন",Non Hate,,
meme_64.jpg,"তুমিতো পড়াশুনায় একেবারে দুর্বল
তোমার বয়সে আমি এর থেকে অনেক কঠিন কঠিন অঙ্কের সমাধান করে দিতাম
আপনি ভালো টিচার পেয়ে গেছলেন সবার ভাগ্য এত ভালো নয়",Hate,Personal Offence,Individual
meme_65.jpg,"Hi
Hlo, কী করো তুমি?
U.S.A তে জব করি
ওয়াও তুমি আমেরিকাতে চাকরি করো
না, আমেরিকা নয়, উল্টোডাঙা সেবা আশ্রম
শালা, ঢ্যা** Block",Hate,Abusive,Individual
meme_66.jpg,"*স্বামী
*স্ত্রী
কি হয়েছে?
বুক ব্যথা করছে
ডাক্তার দেখাও
দেখিয়েছি
তো কি বলল?
Wow",Non Hate,,
meme_67.jpg,"বলোতো আমার হাতে কী আছে?
কিছুই নেই পোদ চুলকাতে গিয়ে ধরা পরে গ্যাছো তাই নাটক করছো!",Hate,Abusive,Individual
meme_68.jpg,"এই ছেলেটা কে? -জান, এটা ফেক আইডি। -আইডি রিয়াল, তুই ফেক",Non Hate,,
meme_69.jpg,"কেমন চলছে চাকরিওয়াল জীবন...?
অনেক বেকার, পুরোদিন 'Yes Sir' করতে থাকি আর...
পুরোরাত ""Ohh Yeah Sir"" করতে থেকে যায়।।",Non Hate,,
meme_70.jpg,"একটা কথা বলবো, তুমি আমায় মা'রবে না তো? জানোতো আমি প্রেগনেন্ট!
বাহ!! এটাতো খুব খুশির খবর, মা'রতে যাবো কেনো?
ছোটোবেলায় বাবাকে বলেছিলাম, খুব মে'রেছিল",Non Hate,,
meme_71.jpg,"মা পায়ে চো'ট লেগেছে কি লাগাবো?
""Status"" লাগা ""Status""
ধুর..",Non Hate,,
meme_72.jpg,"মেয়েকে নয়, মেয়ের মা কে পটান
মনে রাখবেন কান টানলে মাথা আসে",Non Hate,,
meme_73.jpg,"বাথরুমে গাজর কেনো পরে আছে?
তুমি যে শ্যাম্পু ফেলে আসো, আমি তখন কিছু বলি?",Non Hate,,
meme_74.jpg,"বুদ্ধির পরিক্ষা
মাছ কত নাম্বার রাস্তা দিয়ে গেলে পানির কাছে যেতে পারবে
100% লোক ফেল",Non Hate,,
meme_75.jpg,রান্নাঘর থেকে মাংসের গন্ধ আসছে  দুপুরে খাওয়ার সময় দেখি মা মিট মশলা দিয়ে ইচর বানিয়েছে,Non Hate,,
meme_76.jpg,"ঝাল মুড়ি দেন ১০ টাকার ঝাল মুড়ি দেন ১০ টাকার ঝাল মুড়ি দেন, কিন্তু ঝাল ছাড়া",Non Hate,,
meme_77.jpg,GF কে পাখি বলে ডাকবা আর উড়ে গেলেই দোষ? ,Non Hate,,
meme_78.jpg,"অভিনন্দন,আপনি 4 টা বাচ্চা জন্ম দিয়েছেন ..! ধন্যবাদ, ডাক্তারবাবু.....! বোকা চে আমি প্রথমেই বলেছিলাম ভগি স্টাইলে করবা না।।",Hate,Abusive,Individual
meme_79.jpg,তুমি খুব কালো তোমার বাচ্চাও কালো হবে,Hate,Personal Offence,Individual
meme_80.jpg,"আমি তোমাকে ভালবাসি কিন্তু আমিতো তোমার থেকে বয়সে বড় ওকে, তাহলে আমি আপনাকে ভালবাসি",Non Hate,,
meme_81.jpg,বৃষ্টির রাতে কারেন্ট চলে যাওয়ায় যখন বউ এর হাতে মোমবাতি ধরিয়ে দেন কিন্তু বউ জানে ঘরে কোন মোমবাতি নেই:,Non Hate,,
meme_82.jpg,"ম্যাডাম আমার দশ দিনের ছুটি লাগবো দেশে যামু
দশ দিন! বলিশ কি আমার সংসার, তোর সাহেবের কাজ গুলো কে দেখবে তাহলে
আপনে যদি কন তাইলে সাহেবরে নিয়া যাই আমার সাথে...?",Non Hate,,
meme_83.jpg,"দেখা তোর জিনিস পত্র
ধুর, এত ছোট তোর নামটাই শুধু রিশাল",Non Hate,,
meme_84.jpg,"ওগো! কাল রাতে কেমন মজা এসেছিল?
সত্যি! দারুন মজা এসেছিল
বউ:
আমি জানতাম মজা আসবে, আমার রেকর্ড আছে আজ পর্যন্ত কেউ কমপ্লেন করেনি",Non Hate,,
meme_85.jpg,"তোমার বর অনেকটা সরল মানুষ আছে কারন ....
ওই আমার জিনিসপত্র রাখতে বাড়ির ভিতর পর্যন্ত এসেছিল ।।
এর মানে আমকে ওকে আরো সোজা করতে হবে",Non Hate,,
meme_86.jpg,"ভাই আজকে ফিজিক্সটা
দেখাস। নাহলে ফেল করে যাব
তুই এমনিতেও ফেল করবি
কেন?
কারন আজ কেমিস্ট্রি পরীক্ষা",Non Hate,,
meme_87.jpg,"ভাই বিল কত টাকা হইছে?
৩০০০ টাকা....
ভাই আপনাগো থালা-বাসন ধোয়ার যায়গাটা কোনদিকে?",Non Hate,,
meme_88.jpg,"তোমার মতন ১০০০টা যাবে আসবে
ভগবান তোর ব্যবসা বড় করুক",Non Hate,,
meme_89.jpg,"তোমার মতন ১০০০টা যাবে আসবে
ভগবান তোর ব্যবসা বড় করুক",Non Hate,,
meme_90.jpg,"হ্যালো, বাড়িতে কেউ নেই এসে যাও...।।
এখনই তো আসলাম আমি তোমার বাড়ি থেকে ...!
ক্ষমা করো, আবার তোমাকে লেগে গেল ।।",Non Hate,,
meme_91.jpg,"আইডির নাম অচেনা পাখি!!
খোঁজ নিয়ে দেখি পাশের বাড়ির কাকি!",Non Hate,,
meme_92.jpg,"বাবু কল দাও
ইফতারের টাইম হয়েছে, যাও ইফতার করো
বাবু তুমি কল দিয়ে আযান না দিলে আমি ইফতার করবো না!",Hate,Religious,Community
meme_93.jpg,"আমাকে একটা কথা বলো...
রাতের বেলা থেকেই বিয়ের আংটি খুঁজে পাচ্ছি না !!
ভালো করে দেখো তোমার ভিতরেই হবে।।",Non Hate,,
meme_94.jpg,"মা, তুমি ব্লাউসের মধ্যে কেন টাকা রাখো?
যাতে তোর বাবা খুঁজে না পায়, সেই জন্য...
মা, তুমিও না... বেচারা বাবা শুধু শুধু কাজের মাসির ব্লাউসে খোঁজে",Non Hate,,
meme_95.jpg,"স্ত্রী :
তুমি বাইরে গেলে ভয় করে
স্বামী :
ভয় কীসের! আমি তাড়াতাড়ি চলে আসবো
স্ত্রী :
ব্যাস! এটার জন্যই তো ভয়",Non Hate,,
meme_96.jpg,"আমি মারা গেলে কি করবা?
পাগল হয়ে যাবো
আরেকটা বিয়ে করবা না তো?
পাগলে কিনা করে।",Hate,Personal Offence,Community
meme_97.jpg,"Ami Tumi Golap Ful
Then?
Valo Lage Tumar silky chul
Accha tarpor?
Tumay kine dibo kane dul
Amar Boro cheler nam Shoriful",Non Hate,,
meme_98.jpg,Mammy: Inme se koi ek utha le,Non Hate,,
meme_99.jpg,"চুল আর বিশ্বাস
দিন দিন উঠে যাচ্ছে!",Non Hate,,
meme_100.jpg,"একটা পেন হবে তোমার কাছে?
একটা কেন! দশটা নিয়ে নাও
ভাই, আমাকেও একটা পেন দে না
বাড়ি থেকে পেন না নিয়ে পরীক্ষা দিতে এসেছিস কেন?",Hate,Gender,Individual
meme_101.jpg,"বৃষ্টি আসলে ছাদে ভিজতে পারিনা
কারণ আমি টিনের ঘরে থাকি!",Non Hate,,
meme_102.jpg,"এক কোটি টাকা দিতে পারোসনা
আবার নিজেরে আমার বেস্টফ্রেন্ড বলো
CHII",Non Hate,,
meme_103.jpg,"আমার কান নেই, তাও চশমা পড়েছি",Non Hate,,
meme_104.jpg,"নাহ...
তোমরা দুজন একসাথে এক বিছানায় ছিঃ
আপা তুমি বাইচা আছো?
তোদের কি লজ্জা করলো না আর তুই কিভাবে পারলি দুলাভাইয়ের বুকে মাথা দিয়ে ঘুমাইতে
স্বামী স্ত্রী একসাথে এভাবে না ঘুমাবে তা কিভাবে ঘুমাবে",Non Hate,,
meme_105.jpg,"একটা ভুল করে দেখো, মানুষ ভুলে যাবে তুমি তার জন্য কি কি করেছো",Non Hate,,
meme_106.jpg,"আজ একটু বেশি খেয়ে ফেলেছি
কেন! রান্না খুব ভালো হয়েছিলো বুঝি ?
না না, রাতে একটু বেশি ক্যালোরি বার্ন হবে তো তাই",Non Hate,,
meme_107.jpg,"আজ বাড়ি ফাঁকা। রাতে চলে এসো।
কিন্তু বৌদি, দাদা তো দরজায় তালা দিয়ে গেছে।
বালেশ্বর একঝা 
ঠাকুরপো, ইচ্ছা থাকলে উপায় হয়, জানালার ফাঁক দিয়ে ও কাজ সারা যায়।",Non Hate,,
meme_108.jpg,"তোর ছোট ভাইটা এখন কি কাজ করে?
কিছুদিন আগে একটা কাপড়ের দোকান খুলেছিল, এখন জেলে আছে।
কেন?
কারণ ও দোকানটা খুলেছিল হাতুড়ি দিয়ে দরজা ভেঙে!",Non Hate,,
meme_109.jpg,"এমন সুন্দরী বউ পেলে
বিয়ের পর ঘর থেকে বাইরে যাবই না",Non Hate,,
meme_110.jpg,বাকি হলো একটা জাদু আমি দিলে আপনি অদৃশ্য হয়ে যাবেন।,Non Hate,,
meme_111.jpg,"হ্যাঁ এভাবেই নিউজফিডে ঘুরতে থাকেন,
প্রেম-টেম আপনাকে দিয়া আর হবে না!",Non Hate,,
meme_112.jpg,"তোমার কেমন গার্লফ্রেন্ড চাই?
যার কোলে মাথা রেখে ঘুমালে তার চেহারা না দেখা যায়।।",Non Hate,,
meme_113.jpg,"মেয়েরা কেন বেশি গরম হয়?
কারণ ছেলেটির 2 জিরো ওয়াটের বাল্ব এবং একটি 40 ওয়াটের টিউব রয়েছে।।
যেখানে মেয়েদের 2 টি 500 ওয়াটের বাল্ব এবং একটি 3000 ওয়াটের ওভেন রয়েছে।",Non Hate,,
meme_114.jpg,"তোমাকে ভালোবেসে আমি সব গিয়েছি ভুলে
শ্যাম্পু মাখছি গালে ও ফেসওয়াশ দিচ্ছি চুলে!",Non Hate,,
meme_115.jpg,বউয়ের দোয়া,Non Hate,,
meme_116.jpg,"তুমি বিয়ের আগে কতজনের সাথে ঘুমাইছো জান
শুধু তোমার সাথে জান
সিরিয়াসলি জান i love you so much
বাকিরা ঘুমাইতে দেয় নাই",Non Hate,,
meme_117.jpg,"Relative: চিনছো আমাকে আমি তোমার বাবার বিয়েতে এসেছিলাম..?
Me: ওহ হ্যাঁ চিনেছি..",Non Hate,,
meme_118.jpg,"আজ অনেক গরম
বাইরে আয় আইসক্রিম খাওয়ামো।",Non Hate,,
meme_119.jpg,"বলতো কোন দেশে Corona হয়নি?
কোন দেশে?
সন্দেশে
মার বেটাকে ধরে",Non Hate,,
meme_120.jpg,"কেমন আছো?
তুমি যে আমাকে প্রেমের প্রস্তাব দিয়েছিলে সেটা কি এখনো আছে?
তাহলে সে প্রস্তাব আবারো রিজেক্ট করলাম!
প্রপোজ করেছিলাম তাই ব্লকে করে দিয়েছিলে, এতদিন পর কি মনে করে?
১০০% আছে..",Non Hate,,
meme_121.jpg,"জান বুক ব্যাথা করতেছে।
ডাক্তার দেখাও
দেখিয়েছি
কি বললো ডাক্তার
বললো",Non Hate,,
meme_122.jpg,আমি তো ভালো ভাবেই কথা বলি কিন্তু কিভাবে জানিনা ঝগড়া লেগে যায়,Non Hate,,
meme_123.jpg,"রাত সাড়ে ৩ টা লে আমি :
কি খাওয়া যায়",Non Hate,,
meme_124.jpg,"তুমি দেবে কিছু
আমি দেবো কিছু
সেই থেকে জন্ম নেবে ছোট্ট একটা শিশু",Non Hate,,
meme_125.jpg,"সবাই আমাকে ছেড়ে চলে যায়
সবার কাছে তুই কেনো যাস",Non Hate,,
meme_126.jpg,"ছেলে এবং মেয়ের মধ্যে কি পার্থক্য আছে?
মেয়ে এক বছরে একটাই বাচ্চার মা হতে পারবে আর....
ছেলে এক বছরে 365 টা বাচ্চার বাবা হতে পারবে।।",Hate,Gender,Community
meme_127.jpg,"তুমি তো বলেছিলে...
বিয়ের পরেও তুমি আমাকে অনেক ভালোবাসবে।
এখন আমাকে কী জেগে থেকে জানতাম যে তোমার বিয়ে আমার সাথেই হবে।",Non Hate,,
meme_128.jpg,"দাদু আমি আজকে স্কুলে যাইনি
তাড়াতাড়ি লুকিয়ে পরো, তোমার টিচার আসছে।
দাদু তুমি লুকিয়ে পড়ো আমি বলেছি ""দাদু মারা গেছে""",Non Hate,,
meme_129.jpg,"বউমা, তুমি রোজ করো, তাই তো?
হ্যাঁ মা-জি, কিন্তু ওকে খুব ব্যথা হয়।
অরে, রোজ আলাদা আলাদা করে চেঞ্জ করে করো, আমিও তো তাই করি!",Non Hate,,
meme_130.jpg,"কি করছো শোনা?
কিছুনা.. ছোটো ভাইকে ঘুম পটানোর চেষ্টা করছি..
কিন্তু তোমার তো কোনো ছোটভাই নেই..",Non Hate,,
meme_131.jpg,"""Love"" কি হয় ??
""L"" ধরে রেখে ""O"" কে টিপে ""V"" এ ঢুকিয়ে....
যখন ""E"" এর আওয়াজ আসবে তখন তাকে ""Love"" বলে।।",Non Hate,,
meme_132.jpg,"তোমার জাঙ্গিয়াতে কি ২টা ছিদ্র আছে....?
নির্লজ্জ...না নেই
তাহলে পা দুটো ঢোকাও কোথায়...",Hate,Personal Offence,Individual
meme_133.jpg,"জান তোমাকে স্বপ্নে দেখলাম..
বিশ্বাস করি না! স্ক্রিনশট দাও!!",Non Hate,,
meme_134.jpg,"""বয়স বাড়ছে, বিয়ে কর্! ""
কেউ বললে কান দেবেন না। নিজে বিয়ে করে দেখেছি, বয়স এখনও বাড়ছে।",Non Hate,,
meme_135.jpg,"আমার জন্য মোবাইলে ফোন আসলে বলে দিও যে আমি বাড়িতে নাই....
আমার বর বাড়িতে আছে...!
কিন্তু আমি তো বারণ করেছিলাম তোমাকে
ফোন তোমার জন্য না আমার জন্য এসেছিল...।।",Non Hate,,
meme_136.jpg,"এলাকার মধ্যে প্রেম করার সুবিধা হলো
BF কে লুঙ্গী পড়া অবস্থায় ও দেখা যায়",Non Hate,,
meme_137.jpg,"দাদু আমি অংকে ১ এর জন্য ১০০ ১০০ পাইনি
তাহলে ৯৯ পেয়েছো?
না, ২টো শূন্য পেয়েছি",Non Hate,,
meme_138.jpg,"ধাঁধা..মাথা খাটান!
চারটি বিজোড় সংখ্যা যোগ করে ২০ তৈরি করুন।
শর্তঃ একটা সংখ্যা একবারই ব্যবহার করা যাবে।",Non Hate,,
meme_139.jpg,"বাড়িতে কেউ নেই, চলে এসো
আবার! এক্ষুনি তো ফিরলাম তোমার বাড়ি থেকে
ওহ সরি! ভুল করে তোমায় ফোন লেগে গেছে",Non Hate,,
meme_140.jpg,"তুমি অফিসে এত ছোটো জামা কাপড় কেনো পরে আসো?
আমার salary খুব কম তাই, এই salary তে এইটুকুই জামা হয়
Manager কে বলছি তোমার ৩মাসের যেনো না দেয়",Non Hate,,
meme_141.jpg,"আর একবার হবে নাকি?
আর একবার করলে ওইটার জায়গায় আমার আত্মা বেরিয়ে আসবে..!",Non Hate,,
meme_142.jpg,"দেখ দেখ
""bf"" রে জামাই ডাকে..!",Non Hate,,
meme_143.jpg,"মা বাবা বাড়িতে নেই..
ঠিক আছে, আমি আসছি...
আরে ২ দিন ধরে বাড়ি আসেনি পুলিশ স্টেশনে কমপ্লেইন করতে যেতে হবে...",Non Hate,,
