sample,Video Title,Video URL,Publish Date,Video Category,Comment,H/NH,Target Group,Hate Category,explanation
11,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,বাচ্চাদের মতো প্রশ্ন।হিরো আলমের মতো ফানি হয়েগেল😂😂😂,H,Female,Personal Offence,"‘বাচ্চাদের মতো প্রশ্ন’ বলে প্রশ্নকর্তাকে এবং ‘হিরো আলমের মতো ফানি’ বলে হিরো আলমকে উপহাস করা হয়েছে, মন্তব্যটি ব্যক্তিগত আক্রমণ ও অবমাননার শামিল।"
12,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,মেধাহীনতার জ্বলন্ত প্রমাণ ।,H,Female,Gender,নারীর মেধা নিয়ে প্রশ্ন তুলে লিঙ্গীয় বৈষম্যমূলক মন্তব্য করা হয়েছে।
13,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,তাতে সব বাল পরে গেল??,H,Female,Abusive/Violence,"""বাল পরে গেল"" কথাটি অত্যন্ত অশ্লীল ও আক্রমণাত্মক। এর মাধ্যমে চরম ঘৃণা ও বিরক্তি প্রকাশ করা হয়েছে।"
14,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"টিভিতে সো-কল্ড ""দোস্ত্"" শব্দটিকে এভাবে প্রোমোট করার কোন মানেই হয়না।",H,"Male,Female",Abusive/Violence,"""সো-কল্ড ""দোস্ত্"""" শব্দটিকে ব্যঙ্গ করে এর প্রচারকে অর্থহীন বলা হয়েছে, বক্তব্যটি চরম বিরক্তি ও অপমানের প্রকাশ। এই ধরনের ভাষা আক্রমণাত্মক এবং এর মাধ্যমে বক্তা শব্দটির প্রতি ঘৃণা প্রকাশ করে।"
15,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"এরা কেন কোন ধর্মের কথা বলে না, কোন শিক্ষার কথা বলে না, কোন মানবতার কথা বলে না, মনুষ্যত্ব বোধের কথা বলে না। তারপরেও তারা মানুষের কাছে কত প্রিয়। কিভাবে কি? এদের কাছ থেকে পরবর্তী তরুণ তরুণী কি শিক্ষা নিবে।হায়রে,,,,,,,",H,Religious,Religious,"এখানে একটি গোষ্ঠীকে ইঙ্গিত করে বলা হয়েছে যে তারা ধর্ম, শিক্ষা, মানবতা ও মনুষ্যত্বের কথা বলে না, যার মাধ্যমে প্রকারান্তরে তাদের ধর্মীয় বিশ্বাস ও মূল্যবোধের প্রতি বিদ্বেষপূর্ণ মনোভাব প্রকাশ করে।"
16,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"মাইয়্যাগুলোর মাথায় বরাবর ই গুবর থাকে, যারা এই অভিনয় জগতে!! বিশেষ করে বাংলাদেশে!!😂😂 এরা খালি পরিচালকের/হিরো'র পিছনে ঘুরতে জানে😜😜",H,Female,Gender,"নারীদের মেধা ও পেশা নিয়ে চরম অবজ্ঞা প্রকাশ করা হয়েছে এবং তাদের চরিত্রহনন করা হয়েছে, যা লিঙ্গভিত্তিক বিদ্বেষপূর্ণ মন্তব্যের উদাহরণ।"
17,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,ছবিগুলো দেখার পর পলাশের এমন একটা ভাব দেখালো মনে হলো ওরা ওর কাছে খুব গুনী কেউ না বেয়াদব কোথাকার সবকটা তোর সিনিয়র এবং ওরা লিজেন্ড তাদের ছবি দেখারপর একটু রেসপ্যাক্ট দেখানো উচিৎ ছিল।,H,Male,"Gender,Personal Offence,Personal Offence","'বেয়াদব কোথাকার' বলে সরাসরি আক্রমণ করা হয়েছে এবং 'ভাব দেখালো' এমন মন্তব্যে পলাশের প্রতি ব্যক্তিগত বিদ্বেষ প্রকাশ করা হয়েছে, আচরণটি তাকে হেয় করে।"
18,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,এতো ডং করার কি আছে।ফ্লোরে ত সব পিক দেখা যাচ্ছে।,H,"Male,Female",Personal Offence,"""ফ্লোরে ত সব পিক দেখা যাচ্ছে"" উক্তিটির মাধ্যমে ব্যক্তির ব্যক্তিগত জীবন এবং গোপনীয়তাকে হেয় করা হয়েছে, উক্তিটি সরাসরি সম্মানহানিকর।"
19,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"উপস্থাপিকা আপুটার চুলগুলো বেড়ার লোমের কালার না করে কালো করলে,,মুখের মতো পুরো চেহারাটাই কিউট লাগতো,,। বিশ্বাস না হলে একবার কালো করেই দেখেন😊",H,Female,Body Shaming,"উপস্থাপিকার চুলের রঙ নিয়ে মন্তব্য করে তার সৌন্দর্য ও শারীরিক বৈশিষ্ট্য নিয়ে বিদ্রূপ করা হয়েছে, আচরণটি বডি শেমিংয়ের অন্তর্ভুক্ত। এর মাধ্যমে তাকে হেয় প্রতিপন্ন করা হয়েছে।"
20,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,ইবানার চেহারা খাইলো কে😄😄,H,Female,Body Shaming,"'চেহারা খাইলো কে' বলার মাধ্যমে সরাসরি একজনের শারীরিক গঠন নিয়ে কুরুচিপূর্ণ মন্তব্য করা হয়েছে, বাক্তব্যটি বডি শেমিংয়ের শামিল।"
21,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"😂পলাশ চিনছে তাকে ফুলের মালা দেওয়া হোক, 😢ইভানা চিনে না থাকে ফাঁসি দেওয়া হোক 🤗",H,Female,Abusive/Violence,"ইভানা চিনে না তাই তাকে ‘ফাঁসি দেওয়া হোক’ বলা হয়েছে, মন্তব্যটি সরাসরি সহিংসতার হুমকি এবং একটি চরম বিদ্বেষপূর্ণ মনোভাবের বহিঃপ্রকাশ।"
22,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,যদি ফ্লোর দেখে বলে দেয় তাহলে দর্শক দের বোকা বানাবে কি ভাবে,H,Organization,Personal Offence,"'বোকা বানাবে' কথাটি ব্যবহার করে দর্শকদের প্রতি অপমানজনক মনোভাব প্রকাশ করা হয়েছে, উক্তিটি ব্যক্তিগত আক্রমণ হিসেবে গণ্য হতে পারে।"
23,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,দেশে নিউজ করার মতো কন্টেন এর অভাব পরছে আহারে সাংবাদিক 😅,H,Organization,Personal Offence,"সাংবাদিকদের কাজকে তাচ্ছিল্য করে ""আহারে"" বলা হয়েছে, আচরণটি সরাসরি তাদের পেশাগত দক্ষতাকে অপমান করে।"
24,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,নেকামু করার জায়গা না পাইলে যা হয় ফ্লোরে সব দেখা যায়😂😂😂,H,Organization,Personal Offence,"'নেকামু' শব্দটা ব্যবহার করে ভণ্ডামি ও মিথ্যাচারের অভিযোগ আনা হয়েছে, বাক্যটি সরাসরি ব্যক্তিগত আক্রমণ ও অপমানের শামিল।"
25,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,পোচ মাষ্টার শিমুল ভাই 💥,H,Male,Personal Offence,"'পোচ মাষ্টার' শব্দযুগল ব্যবহার করে শিমুল ভাইকে ব্যঙ্গ করা হয়েছে, উক্তিটি ব্যক্তিগতভাবে অপমানজনক।"
26,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,এদেরকে ইসলামের বিষয়ে কিছু প্রশ্ন করা হোক দেখি পারে কিনা বুঝা যাবে ওরা কত বড় কতটুকু মুসলমান হতে পারল চলচ্চিত্র নিয়ে ব্যস্ত ইসলামের সাথে এদের কোন সম্পর্ক নাই,H,Religious,Religious,"'কতটুকু মুসলমান হতে পারল' জিজ্ঞাসা করে তাদের ধর্ম বিশ্বাস নিয়ে সন্দেহ প্রকাশ করা হয়েছে, এবং চলচ্চিত্র নিয়ে ব্যস্ত থাকায় ইসলামের সাথে সম্পর্ক নেই বলা ধর্মীয় বিদ্বেষমূলক।"
27,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,পলাশ তোকে একটা জ্ঞান দিই ভাই সেটা হলো যারা সিনিয়ার তাদেরকে আপনি করে বলবেন নাম তো বলছি সমস্যা নাই বসে আপু ও ভাইয়া বলার দরকার ছিল ছাগল,H,Male,Personal Offence,'ছাগল' বলে সরাসরি সম্বোধন করে পলাশের প্রতি চরম অপমানজনক ও অভদ্র আচরণ করা হয়েছে।
28,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,ইন্ডিয়াকে দেখে শেখো সিনিয়রদের কিভাবে সম্মান করে কথা কয়েকটা কনটেন্ট ভালো চললে নিজেদেরকে বাল মনে কোর,H,Male,Personal Offence,"""নিজেদেরকে বাল মনে কোর"" কথাটি ব্যবহার করে অন্যদের ছোট করা হয়েছে, মন্তব্যটি ব্যক্তিগত অপমানের শামিল। এর মাধ্যমে বক্তা অন্যদের প্রতি তাচ্ছিল্য ও উন্নাসিকতা প্রকাশ করেছেন, বাক্তব্যটি অত্যন্ত আপত্তিকর।"
29,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,আপনারা গেমস খেলতেছে না ফাইজলামি করতেছেন মিয়া 😂,H,Group,Personal Offence,"'ফাইজলামি করতেছেন' বলে কাজটিকে গুরুত্বহীন ও হাস্যকর প্রমাণ করার চেষ্টা করা হয়েছে, যা সরাসরি একটি ব্যক্তিগত আক্রমণ।"
30,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,মেয়েদের মাথায় গোবর না গু থাকে,H,Female,Gender,"মেয়েদের বুদ্ধি নিয়ে খারাপ মন্তব্য করা হয়েছে, বক্তব্যটি লিঙ্গবৈষম্যমূলক একটা বিদ্বেষপূর্ণ কথা। এই ধরনের কথা নারীদের প্রতি সমাজে খারাপ ধারণা তৈরি করে।"
31,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,ইভানা যে এত পরিমাণ ব্রেইনলেস জানা ছিল না,H,Female,Gender,"ইভানার বুদ্ধিমত্তা নিয়ে প্রশ্ন তুলে তাকে ‘ব্রেইনলেস’ বলা হয়েছে, যার মাধ্যমে নারীদের প্রতি বিদ্বেষপূর্ণ ও লিঙ্গীয় বৈষম্য-প্রকাশ পায়। এই ধরনের মন্তব্য নারীর মেধা ও সক্ষমতাকে ছোট করে দেখে।"
32,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,এগুলো কোন জাতীয় মূলধারার টিভির পোগ্রাম হল সময় অপচয়,H,Organization,Personal Offence,"'সময় অপচয়' বলে অনুষ্ঠানগুলোকে গুরুত্বহীন ও মূল্যহীন প্রমাণ করার চেষ্টা করা হয়েছে, উক্তিটি সরাসরি অপমানের শামিল।"
33,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"ইবানা কে মোটা থাকতে অনেক সুন্দর লাগত আমার কাছে,",H,Female,Body Shaming,"ইবানা দেখতে কেমন ছিল, সেই বিষয়ে মন্তব্য করে তার শারীরিক গঠন নিয়ে খারাপ ধারণা দেওয়া হয়েছে, আচরণটি বডি শেমিংয়ের অন্তর্ভুক্ত।"
34,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"এগুলো ঠিকই পারবে ওরা ,এখুনি প্রশ্ন করেন কুরআন এ কয়টি সূরা আছে বা যেকোন হাদিস একটা ও বলতে পারবে না। আবার এগুলোই কারো না কারো আইডল😢",H,Religious,Religious,"কুরআন ও হাদিস সম্পর্কে জ্ঞান না থাকার অজুহাতে একটি বিশেষ গোষ্ঠীকে উপহাস করা হয়েছে, যার মাধ্যমে তাদের ধর্মীয় বিশ্বাসকে হেয় করে। এই ধরণের মন্তব্য ধর্মীয় বিদ্বেষ ছড়াতে পারে।"
35,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,ইভানাকে আগেই ভালো লাগতো আগে একটু নাদুস নুদুস ছিল। এখন হাড্ডি হাড্ডি লাগছে,H,Female,Body Shaming,"শারীরিক গঠন নিয়ে মন্তব্য করে বডি শেমিং করা হয়েছে, যেখানে ""নাদুস নুদুস"" থেকে ""হাড্ডি হাড্ডি"" হওয়া নিয়ে নেতিবাচক ধারণা দেওয়া হয়েছে।"
36,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"একেই বলে মহিলা,, নিচের দিকে তাকালেই তো দেখে বলতে পারে",H,Female,Gender,"নারীর শরীর এবং লিঙ্গ পরিচয় নিয়ে ইঙ্গিতপূর্ণ মন্তব্য করা হয়েছে, তাই এটি অত্যন্ত অবমাননাকর।"
37,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,ধুর ব্যাটা বকবাস অনুষ্ঠান,H,Organization,Personal Offence,"'বকবাস' বলে অনুষ্ঠানটিকে সরাসরি খারাপ বলা হয়েছে, উক্তিটি ব্যক্তিগত অপমানের শামিল। এর মাধ্যমে অনুষ্ঠানটির মান নিয়ে খারাপ ধারণা দেওয়া হয়েছে।"
38,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,আগেই ভালো লাগতো এখন খুব জগন্য লাগছ,H,Female,Gender,নারীর প্রতি বিদ্বেষপূর্ণ মন্তব্য করা হয়েছে এবং তার নারীত্বকে হেয় করা হয়েছে। এই কারণে মন্তব্যটি লিঙ্গীয় বিদ্বেষমূলক।
39,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,এত বার সুযোগ দিলে পারবে না কেনো,H,"Male,Female",Personal Offence,ব্যক্তিগত অক্ষমতা নিয়ে প্রশ্ন তুলে সরাসরি অপমান করা হয়েছে।
40,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"মাথায় কোন মাল নাই, ইভানার",H,Female,Gender,"নারীকে উদ্দেশ্য করে ""মাথায় মাল নাই"" বলা হয়েছে, মন্তব্যটি নারীর মেধা ও বুদ্ধিমত্তা নিয়ে চরম অপমানজনক উক্তি এবং লিঙ্গীয় বিদ্বেষপূর্ণ।"
41,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"ফাউল অনুষ্ঠান, ফ্লোরের রিফ্লেকশনে তো সবই দেখা যায়।",H,Organization,Personal Offence,"অনুষ্ঠানটিকে সরাসরি ‘ফাউল’ বলা হয়েছে এবং ফ্লোরের রিফ্লেকশন নিয়ে মন্তব্য করে অনুষ্ঠানের মান নিয়ে খারাপ ধারণা দেওয়া হয়েছে, বাক্তব্যটি ব্যক্তিগত অপমানের শামিল।"
42,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"মেয়েরা যে বুকা হয় এটাই তার প্রমান,,,পলাশকে এত সহজ ভাবে সব বলে দিয়ে নিজে বিপদে পরে গেলো 😊",H,Female,Gender,"মেয়েরা 'বোকা' হয় এমন মন্তব্য করে লিঙ্গীয় বৈষম্য তৈরি করা হয়েছে, উক্তিটি নারীদের প্রতি অবমাননাকর। এই ধরনের মন্তব্য সমাজে লিঙ্গবৈষম্য বাড়াতে সাহায্য করে।"
43,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,এভাবে বলে দিলে অন্ধেও পারবে,H,Group,Personal Offence,"""অন্ধ"" শব্দটি ব্যবহার করে অক্ষমতাকে ব্যঙ্গ করা হয়েছে, যার মাধ্যমে ব্যক্তিগত আক্রমণ করা হয়েছে।"
44,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,ইভা না এবং পলাশের খুব তাড়াতাড়ি গোপন ভিডিও দেখতে চাই,H,"Female,Male","Abusive/Violence,Gender,Personal Offence","‘গোপন ভিডিও দেখতে চাই’ বলে যৌন ইঙ্গিতপূর্ণ মন্তব্য করা হয়েছে, যার মাধ্যমে ব্যক্তিগত গোপনীয়তার চরম লঙ্ঘন এবং নারীর প্রতি চরম অবমাননা করা হয়েছে।"
45,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,ইভানা ফুল ভুয়া একটা প্রশ্নের উত্তর ও দিতে পারল না,H,Female,Gender,"ইভানা একজন নারী হওয়ায় তার বুদ্ধিমত্তা ও সক্ষমতা নিয়ে প্রশ্ন তোলা হয়েছে, তাই এটি লিঙ্গীয় বিদ্বেষের প্রকাশ।"
46,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,পলাশ কখনও কাবিলার যোগ্যতা হতে হবে না😊,H,Male,Personal Offence,"'কাবিলা' শব্দটি ব্যবহার করে পলাশের যোগ্যতা নিয়ে ব্যঙ্গ করা হয়েছে, বাক্তব্যটি ব্যক্তিগত আক্রমণ ও অপমানজনক।"
47,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,আসলে মেয়েদের হাঁটুতে মস্তিষ্ক থাকে😅😅😅,H,Female,Gender,"নারীদের মেধা ও বুদ্ধি নিয়ে চরম অপমানজনক মন্তব্য করা হয়েছে, তাই এটি লিঙ্গীয় বিদ্বেষের প্রকাশ।"
48,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,সাংবাদিক দের কোন কাজ নাই তাই আকাম শুরু করেছে,H,Organization,Personal Offence,"সাংবাদিকদের কাজ নেই এবং তারা 'আকাম' শুরু করেছে বলার মাধ্যমে তাদের পেশাগত দায়িত্ব ও ব্যক্তিগত সততা নিয়ে খারাপ ধারণা দেওয়া হয়েছে, যা অপমানজনক।"
49,কলার খোসার যত উপকারিতা! | Channel 24,https://youtube.com/watch?v=c6wj-zInKCc,28-02-2022,Entertainment,ছাগল গুলোর কপাল পুড়লো,H,Group,Abusive/Violence,"'ছাগল' শব্দটি ব্যবহার করে একটি গোষ্ঠীকে অপমান করা হয়েছে, তাই এটি অত্যন্ত অবমাননাকর ও আক্রমণাত্মক।"
