Text,Label,Political,Religious,Gender,Personal Offense,Abusive/Violence,Origin,Body Shaming,Misc,bangla,english
Bustard sumon 🎉😂,1,0,0,0,1,0,0,0,0,বুস্টার সুমন🎉😂, Booster Sumon🎉😂
Batija akon to hunlam na joy Bangla koite 🤔🤔🤔,0,0,0,0,0,0,0,0,0,বাজিজা এখন তো হলাম না জয় বাংলা কইতে🤔🤔🤔, Bajija I am not yet able to say Jai Bangla🤔🤔🤔
Tumi ato din lukiy akhon ahisob ki bolchen.. apni toh shubidabugi,1,0,0,0,1,0,0,0,0,তুমি এত দিন লুকিয়ে এখন এসব কি বলছেন.. আপনি তো অবশ্যই, You've been hiding so long and now you're saying this.
Baler kontho ke fatiye dilo..,1,0,0,0,1,0,0,0,0,বালের কথা কে ফাটিয়ে দিলো.., Who broke the fucking word.
or mukh dekhan chi chi chi,1,0,0,0,1,0,0,0,0,অর মুখ দেখান চি চি চি, Show her face chi chi chi
😂😂😂. Mohila hoye faltu rajnitir andolon korte jao keno monu. Abar nijeder k rajakar bolo.,1,0,0,1,0,0,0,0,0,. মহিলা হয়ে ফালতু রাজনীতির আন্দোলন করতে যাও কেনো মনু। আবার নিজেদের কে রাজাকার বলো।😂😂😂, Why don't you be a woman and go to politics and call yourselves rajakars again?😂😂😂
Nari dhorskn nki babsa....konta Ami to dakhi bujtasi j babsa korcha nari,1,0,0,1,0,0,0,0,0,নারী ধরস্কন নাকি বাসা....কোনটা আমি তো দেখি বুঝতেসি যে বাসা করছি নারী, Whether it's a woman or a house...
"Aigula bachar jonno , mittha bola",1,0,0,0,1,0,0,0,0," এইগুলা ব্যবহারের জন্য, কথা বলা"," These are for use, talking"
Ar Jonnoi atto  guli dokan dice pora dese,0,0,0,0,0,0,0,0,0,আর এজন্যই এতো গুলো ডাক দিসে পড়া দেসে, That's why he called so many calls
"jekhane durniti dhekben,
Ei vabe proti bad korben,
Deshe kono durniti baz & Cada baz thakbe Na, 💪",0,0,0,0,0,0,0,0,0," যেখানে বিদ্যুৎ থাকবে, এই ভাবে প্রতি ব্যাড করবেন, দেশে কোনো বিদ্যুৎ থাকবে না,💪"," Where there is electricity, do bad every time, there will be no electricity in the country,💪"
Munafik er kamona kobul hoy na.....,0,0,0,0,0,0,0,0,0,মুনাফিক এর মতো বাবুল হয় না....., There is no Babul like a hypocrite...
Bohot chori kore khaicis akon r khaite partesis na ..,1,0,0,0,1,0,0,0,0,অনেক চেষ্টা করে খাইসিস এখন আর খাইতে পারতেসিস না..," Though you tried, you can't eat anymore."
Poltibaj r jaiga nai,1,0,0,0,1,0,0,0,0,পলিতাবাজ আর জায়গা নাই, There is no room for polytheist.
Le bandhobi:bash kano jhare eso amar ghore😂😂😂😂,1,0,0,1,1,1,0,0,0,লে বন্ধবি:বাঁশ কেন জানে এসো আমার ঘরে😂😂😂😂, Le Broombee: Why don't the bamboo come to my house😂😂😂😂
Ei meye ke shokto vabe Law inforce kora uchit,0,0,0,0,0,0,0,0,0,এই মেয়ে কে শক্ত ভাবে ল ইনফোর্স করা উচিত, This girl should be strongly inforced.
Aroo.. Aga.. Dorkar.. Celo.. Vi,0,0,0,0,0,0,0,0,0,আরু.. আগে.. দরকার.. ছিল .. ভাই, Aru... before... needed... brother
"❤❤
Pase achi",0,0,0,0,0,0,0,0,0,কাছে আছি❤❤, I'm close.❤❤
Apni thik bolechen ...des chalano oto sohoj na r eita kono andolon nh sob American agenda with military support,0,0,0,0,0,0,0,0,0,আপনি ঠিক বলেছেন...ডেস চালানো এত সহজ না আর এটা কোনো আন্দোলন নাহ সব আমেরিকান এজেন্ডা উইথ মিলিটারি সাপোর্ট, You're right...DES is not easy and it's not a movement. All American agenda with military support.
"Tmra ta e korteso 
Jara age ta korsilo",0,0,0,0,0,0,0,0,0,আমরা টা এ করতেসো যারা আগে টা করসিলো, We're doing at the who did it before.
Sala kamna kotha bola,0,0,0,0,0,0,0,0,0,শালা কামনা কথা বলা, crazy talk
Tonni maler khub dop dopi hoyecilo...,1,0,0,1,0,0,0,1,0,উনি মালার খুব চাপ চাপ হয়েছিল..., She was very stressed by Mala...
hanir birodhe ki korso mamu,0,0,0,0,0,0,0,0,0,হীনের বিরুদ্ধে কি করসো মামা, What are you doing against the lowly?
Onader kotha sunay sujog deaa uchit.,0,0,0,0,0,0,0,0,0,তাদের কথা শুনে পরামর্শ দেওয়া উচিত।, We should listen to them and give counsel.
"Bujte parcina,,desh kon deke jasca...bornay manus durvoge pore pran harascy,,Ar ey deke ki hosca ey gula....",0,0,0,0,0,0,0,0,0," বুঝতে পারছিনা,,দেশ কোন দিকে যাচ্ছে...বর্ণে মানুষ বিপদে পড়ে প্রাণ হারাচ্ছে,,আর এই দিকে কি হচ্ছে এই গুলা...."," I don't know where the country is heading... people in caste are in danger, people are losing their lives, and what's happening here..."
Age geli kn,0,0,0,0,0,0,0,0,0,আগে গেলে কেন, Why did you go ahead?
Mitha boltece somo boysombo birodi,0,0,0,0,0,0,0,0,0,মিঠা বলতেছে সব বালকসুলভ বিদ্রোহী, Mitha says all boyish rebels
"Bipod ta kar  porikolponay hobe,, sheita  ki dhoroner?",0,0,0,0,0,0,0,0,0," বিষয় টা কার পরিকল্পনায় হবে,, সেটাই কি ধরনের?"," Whose plan is it, what kind of?"
Ki khela laglo vai 😂😂,0,0,0,0,0,0,0,0,0,কি খেলা লাগলো ভাই😂😂, What a game.😂😂
Tumi ekhon chulkao beta😂😂😂,1,0,0,0,1,0,0,0,0,তুমি এখন চুপকাও বেটা😂😂😂," You shut up now, son.😂😂😂"
Jonogoner takay Unnoyon  hoice hasinar takay na,0,0,0,0,0,0,0,0,0,অনেকের টাকায় উন্নয়ন হয়েছে হাসিনার টাকায় না," Many people's money have developed, not Hasina's money."
Awamileage government thakte mukh kholeni. Ekhon jhamela pakasse,0,0,0,0,0,0,0,0,0,আওয়ামী লীগ সরকার থাকতে মুখ খোলেনি। এখন ঝামেলা পাকসে, The Awami League government did not open his mouth while it was in trouble.
Shala Bangladesh ayi,0,0,0,0,0,0,0,0,0,শালা বাংলাদেশ এইই, This is Bangladesh.
Otiricto expectation nije toiri kore sarkar k choto korar chesta kora hocche....Faltu,1,0,0,0,1,0,0,0,0,ঐতিরিক্ত প্রত্যাশা নিজে তৈরি করে সরকার কে ছোট করার চেষ্টা করা হচ্ছে....ফালতু, To undermine the government by making additional expectations themselves...
Net kake bole codanir po,1,0,0,0,1,0,0,0,0,নেট কে বলে কোডানির পো, Net is called Kodani's Po
Allah re koto dhong.biyetta jamai niye.onno joner ghor bhenge.ei beti chais abar r ek jon re paile ture charbo,0,0,0,0,0,0,0,0,0,আল্লাহ রে কত ধরং।বিয়েটা জামাই নিয়ে।অন্য জনের ঘর ভেঙে।এই বেটি চায় আবার আর এক জন রে পাইলে আবার চালাবো," God damn it. The marriage is with the son-in-law, breaking the other's house, this girl wants to run again if I find another man."
biplob bad zabe kno.,0,0,0,0,0,0,0,0,0,বিপ্লব খারাপ যাবে কেন।, Why would the revolution be bad?
Arey ontobortikal sorker ki sonsker korchey ei golo ki dekey na eta kono sadin desh hotey parey na Bangladesh sesh korey dilo manosh ekon er safe nai ei omsob amra student ra dekchi tobey kob sikroi aber long march to dhaka hobey ei younos sorker o amra chai na,0,0,0,0,0,0,0,0,0,আরে অনন্তকালীন সরকার কি সমাধান করছে এই গুলো কি দেখায় না এটা কোনো দিন দেশ হতে পারে না বাংলাদেশ শেষ করে দিল মানুষ এখন এর সেফ নাই এই সব আমরা স্টুডেন্ট রা দেখছি তবে খুব শীঘ্রই আবার লং মার্চ তো ঢাকা হবে এই ইউনুস সরকার ও আমরা চাই না, What the everlasting government is solving this doesn't show it can't be a country Bangladesh is ruined people are not safe now this is all we students are watching
Sumon apnak r sonmam er dite parlam na...... chi chi apni o dalal.....,1,0,0,0,1,0,0,0,0,সুমন আপনাকে আর সনম এর দিতে পারলাম না..... চি চি আপনি ও দালাল....., Suman can't give you Sonam anymore...chi chi you and the broker...
Guisstan ke Pakistan banaya falise,0,0,0,0,0,0,0,0,0,গুইস্তান কে পাকিস্তান বানানো মিথ্যা, Making Guistan Pakistan is a lie
Mere fel ora,1,0,0,0,0,1,0,0,0,মেরে ফেল ওরা, Kill them
No  he is awame legue r,0,0,0,0,0,0,0,0,0,নো সে ইজ আওয়ামে লীগ আর, No she is Awame League and
Unar jnoi jamuna tv abar aste aste zero hoye jete pare.. Mathay rakhben jonogon upore uthaite pare abar nichew namate pare.,0,0,0,0,0,0,0,0,0,তার কারণে যমুনা টিভি আবার আসতে আসতে জিরো হয়ে যেতে পারে.. মাথায় রাখবেন জনগণ উপরে উঠতে পারে আবার নিচে নামতে পারে।," Because of her, Jamuna TV may be zero again.."
Salir chokhe pani koi,0,0,0,0,0,0,0,0,0,শালার  চোখে পানি কই, Where's the tears in his eyes?
"Mamu tumo ke vota mayor hoysela,",0,0,0,0,0,0,0,0,0," মামা তুমো কে ভোট মেয়র হচ্ছে,"," Mama Tumo is voting mayor,"
"Safe takbi na, jokon e pabo tokon e gono dolai debo chamchar ra",0,0,0,0,0,0,0,0,0," সেফ থাকব না, যখন এ পাবো তখন এ গণ দোলাই দিবো চাপচার রা"," I won't be safe, when I get in the, I'll swing it."
Razakar upadi to sheikh hasina dice tar Kotha to bolte parlen na,1,0,0,0,1,0,0,0,0,রাজাকার উপাধি তো শেখ হাসিনা দিছে তার কথা তো বলতে পারলেন না, Sheikh Hasina gave the title of Razakar but could not say about him
Question fas er kotha bolte vule gechen,0,0,0,0,0,0,0,0,0,প্রশ্ন ফাস এর কথা বলতে ভুলে গেছেন, Forgot to mention the question leak
Good vlo lagce ore fasi deya hok,0,0,0,0,0,0,0,0,0,গুড ভালো লাগছে ওরে ফাঁসি দেওয়া হোক, Glad he's hanged
Hasina r birudde bal falaisen,1,0,0,0,1,0,0,0,0,হাসিনা আর বিতর্কে বাল ফালাইসেন, Hasina and the debate are fucking fucking
Vai apni taka ke taga bolen keno khet er moto,1,0,0,0,1,0,0,0,0,ভাই আপনি টাকা কে টাকা বলেন কেনো ক্ষেত এর মতো," Brother, why do you call money money like fields"
Manik hammer day bdarer sey 2 chokra,0,0,0,0,0,0,0,0,0,মানিক হাতুড়ি ডে বন্ধের সেই ২ চাপরা, Manik Hammer Day Closing 2 plates
"Too late, too late now, ekhon ei somoye tomar natokbazi hochchhe...   Alhamdulillah.",0,0,0,0,0,0,0,0,0," খুব লেট, ওভার লেট নাও, এখন এই সময়ে তোমার নাটকবাজি হচ্ছে... আলহামদুলিল্লাহ।"," You're too late, too late. Now you're playing it at this hour."
Khub e dukhho laglo aapnader video ta dekhe ata bondho Kora uchit manusher sathe ai obichar ki kore sei desher sorkar mene nichhe sobar age manush se je e hok Hindu Muslim,0,0,0,0,0,0,0,0,0,খুব এ দুখ লাগলো আপনাদের ভিডিও টা দেখে এটা বন্ধ করা উচিত মানুষের সাথে এই আচরণ কি করে সেই দেশের সরকার মেনে নিয়েছে সবার আগে মানুষ সে যে এ হোক হিন্দু মুসলিম," I'm so sad to see your video and it should be stopped how the government of that country has accepted the treatment of people first, whether Hindu or Muslim."
Ere age gonopitoni dete hobe,0,0,0,0,0,0,0,0,0,এর আগে গনপতিটি দিতে হবে, You have to give the gopati first.
Ora khomotar ble srostar kotha vule gasa..hyto allah duniyatei dekhiye diben,0,0,0,0,0,0,0,0,0,ওরা ক্ষমতার বলে প্রতারণার কথা ভুলে গাসা..হতো আল্লাহ দুনিয়াতেই দেখিয়ে দিবেন, They would have forgotten the fraud by the power of their power... God will show it on earth.
Suorer bachha deshe ay. Dure gea chillas.,1,0,0,0,1,0,0,0,0,আরো বেশি দেশে আসে। ধুরে গিয়া চিলাস।," Fuck you, Chillus."
Ki r bolmu 😂,0,0,0,0,0,0,0,0,0,কি আর বলবো😂, What can I say?😂
Sob ses  😝😝😝😝,0,0,0,0,0,0,0,0,0,সব শেষ😝😝😝😝, It's all over.😝😝😝😝
Abbal marka news,1,0,0,0,1,0,0,0,0,আববাল মার্কা নিউজ, Abbal Mark News
"ai kuttarbaccha gulare maira fela hok, ajk rater moddhei",1,0,0,0,1,1,0,0,0," এই কুত্তার বাচ্চা গুলারে মাইরা ফেলা হোক, আজকের রাতের মধ্যেই", Kill these sons of bitches by tonight.
Paca lal korar somoy aiche,1,0,0,0,0,1,0,0,0,পাকা লাল করার সময় আছে, There's time to get red.
ShabadhSmar desh premi bir shantanera. Andolon kari Ansar shadasha karider birodhe mamla karo tader Ushkani datader parichay Jati jante chay.,0,0,0,0,0,0,0,0,0,শবদস্মর দেশ প্রেমী বীর সন্তানেরা। আন্দোলন কারি আনসারদের সাহায্যকারীদের বিরুদ্ধে মামলা কারো তাদের উস্কানি ডাটাদের পরিচয় জাতি জানতে চায়।, The nation wants to know the identity of the provocative data.
Tor mathi jode aktu ghelu thakto tui .ontoto 5 years por aste bahia,0,0,0,0,0,0,0,0,0,তোর মাথি যদি একটু ঘিলু থাকতো তুই.এখন পর্যন্ত ৫ বছর পর আসতে বাকি," If you had a little brain, you're gonna be back in five years."
"Marhaba Marhaba Marhaba,,, KUB student.",0,0,0,0,0,0,0,0,0," মারাবা মারাবা মারাবা,,, কেইউবি স্টুডেন্ট.", Maraba Maraba Maraba... KUB students.
Sotto Bola akhon dos,0,0,0,0,0,0,0,0,0,সত্য বলা এখন করে, Telling the Truth Now
Evabei hote hobe jono goner soseto❤taholei gora jabe sona banlades😊,0,0,0,0,0,0,0,0,0,এভাবেই হতে হবে যাতে গনের সকল স্তরেই গড়া যাবে সোনা বালাদেস❤😊, That's how you can build all levels of the masses.❤😊
Nam age working plase ber koray a det porichoy ber kortay hobay asolay evera ansar ki na,0,0,0,0,0,0,0,0,0,নাম আগে ওয়ার্কিং প্লেসে বের করায় এ ডেট পরিচয় বের করতে হলে অবশ্যই আসবে এটা আনার কি না," If you find the name in the working place first, you'll have to find out if it's the date."
Toi look valo nh  sarthopo subidabadi😂😂😂😂,0,0,0,0,0,0,0,0,0,তুই লুক ভালো নাহ সত্যপো সত্যবাদী😂😂😂😂, You're not good Luke. You're truthful.😂😂😂😂
Nur Ekta Diettho Nawar Jonno Doctor.yunus sarer.gan gitace.,0,0,0,0,0,0,0,0,0,নূর একটা কথা বলার জন্য ডক্টর.ইউনুস সরকারের.গান গাইসে।, Noor sings Dr. Yunus Government. to say one thing.
Obboshoi putkir chamra tule fhela hok. Students der gaye haat dise obboshoi ei gular bichar korte hobe.. Dhonnobad Bangladesh shena bahini...,1,0,0,0,0,1,0,0,0,অবশ্যই পুথির চামরা তুলে ফেলা হোক। স্টুডেন্টদের গায়ে হাত দেয় অবশ্যই এই গুলার বিচার করতে হবে.. ধন্যবাদ বাংলাদেশ সেনা বাহিনী..., Of course the skin of the puthi should be removed and those who touch the students must be judged. Thank you Bangladesh Army..
Amra ki tahole rohingga?,0,0,0,0,0,0,0,0,0,আমরা কি তাহলে রোহিঙ্গা?, Are we Rohingya?
Ai gula thik hocca na aktu bashi bayadhopi korca student ra😡😡,0,0,0,0,0,0,0,0,0,এই গুলা ঠিক হচ্ছে না একটু বেশি বাড়াবাড়ি করছে স্টুডেন্ট রা😡😡, This isn't right. The students are getting too exaggerated.😡😡
Oi halar puth manush bikri hoyna. Hoymojiri bikri. Khan kir polay koy kir.deshar bodnam koray.,1,0,0,0,1,0,0,0,0,ওই হালার পুত মানুষ বিক্রি হয়না। হয়মজিরি বিক্রি। খান কির পোলায় কয় কির।দেশের বদনাম করে।, That son of a bitch doesn't sell man. He sells homziri.
Aponake ovbhinondon sir.,0,0,0,0,0,0,0,0,0,আপনাকে ধন্যবাদ স্যার।," Thank you, sir."
Guli ta korlo k,0,0,0,0,0,0,0,0,0,গুলি টা করলো কে, Who shot him?
Doctor onek rat dhore gumainai......,0,0,0,0,0,0,0,0,0,ডক্টর অনেক রাত ধরে গুমাইনাই......," Doctor, I've been doing this for a long night."
Deser durdine ara ascilo faijlami korte sastito paoari cilo.,0,0,0,0,0,0,0,0,0,দেশের দুর্দইন এরা আসছিল ফায়শালা মি করতে সন্তুষ্ট পাওয়াই ছিল।, The country's dirty guys were coming to get satisfied.
Poor bangladeshi 😂,1,0,0,0,0,0,1,0,0,পুওর বাংলাদেশী😂, Pure Bangladeshi😂
Koto $ diye sell holen?,1,0,0,0,1,0,0,0,0,কত $ দিয়ে সেল হলেন?, How much did you sell?
"Oi pati shial-er bachha, toooooi kaaaddaaa re. Tor hoowakkaa  hooo te  jongoler shial kutta o lonja pabe.",1,0,0,0,1,0,0,0,0," ওই পাটি শিয়ালের বাসা, তাওই কাদ্দা রে। তোর হওয়াক্কা হউ তে জঙ্গলের শিয়াল কুত্তা ও লোঞ্জা পাবে।"," That pati is a foxhouse, Taoi Kadda. You'll get the fox dogs in the jungle and Lonja."
Amar chai desh asuk tar manus marar bichar korte hobe,0,0,0,0,0,0,0,0,0,আমার চাই দেশ আসুক তার মানুষ মারার বিচার করতে হবে, I want the country to come and justice his killing of people
Kisu bolar nai. 😡😡😡😡,0,0,0,0,0,0,0,0,0,কিছু বলার নাই।😡😡😡😡, Nothing to say.😡😡😡😡
"Awami league, Awami League K Killed korteche,Apni ki Manush Na Omanush ?",0,0,0,0,0,0,0,0,0," আওয়ামী লীগ, আওয়ামী লীগ কে কিলড করতেছে,আপনি কি মানুষ না মানুষ?"," Awami League is killing Awami League, are you human or human?"
Jaorai bassa bassa,1,0,0,0,1,0,0,0,0,যারাই বাসা বাসা, whoever
suorer bachha tor upor kar pretatta vor korse ?,1,0,0,0,0,1,0,0,0,উপরের বাসা তোর উপর কার ক্ষমতা ভর করছে?, Whose power is on you upstairs?
Apner bon live in a silo tokhn ki apni ghumia silen naki ....  Bacca akta mea k look after na kora live in a thakte curicity deasen,0,0,0,0,0,0,0,0,0,আপনার বোন লাইভ ইন এ ছিল তখন কি আপনি ঘুমাইয়া ছিলেন নাকি.... আচ্ছা একটা মিয়া কে লুক আপ না করে লাইভ ইন এ থাকতে কিউরিটি দেন, Did you sleep when your sister was in Live Inn or... give a lady the curiosity to stay in Live Inn without looking up.
Ai yr er neet a selected students der ai jaiga te dekha jbe khubb joldi...(Sob neet er student der noi) Sokol a nijer gaye nio na 😂,0,0,0,0,0,0,0,0,0,এই ইয়ার এর নেট এ সিলেক্টেড স্টুডেন্ট দের এই জায়গা তে দেখা যাবে খুব তাড়াতাড়ি (সব নেট এর স্টুডেন্ট দের নয়) সব এ নিজের গায়ে নিও না😂, The selected students on this year's net will be seen here very soon (not all net students) don't take it on yourself.😂
Apnader...aisob onusondhan akn kno vai???Age ason korte paren nai???Akta oborad hoya jaoyar por a...nijeger lav ar jonno...ai khobor procar koren apnara,0,0,0,0,0,0,0,0,0,আপনাদের...এইসব যুক্তি এখন কেন ভাই??? আগে যুক্তি করতে পারেন নাই??? একটা বাধ্য হওয়া যাওয়ার পর...নিজের লাভ এর জন্য...এই রকম প্রতিবাদ করেন আপনারা, Why didn't you argue before???
Jara mara gece tader ke ki parbe firiye ante,0,0,0,0,0,0,0,0,0,যারা মারা গেছে তাদের কে কি পারবে ফিরিয়ে আনতে, Can you bring back those who died?
Khankirpula amader guli korar age mone chilo na?,1,0,0,0,1,0,0,0,0,খানকিরপুলা আমাদের গুলি করার আগে মনে ছিল না?, Didn't you remember when he shot us?
kono kichotei atke rakha jabe na.ai lorai pora jatir jonno tai amra kono vabei dabi aday na kora firbo na..,0,0,0,0,0,0,0,0,0,কোনো কিছুই একে রাখা যাবে না।এই মই পড়া জাতির জন্য তাই আমরা কোনো ভাবেই দেব আজ না করা ফিরবো না.., Nothing can be kept. This ladder falls for the nation so we will give in any way so we will not go back today..
lal shirt wala police ta nirghat awami league,0,0,0,0,0,0,0,0,0,লাল শার্ট ওয়ালা পুলিশ টা নিতেঘাট আওয়ামী লীগ, Awami League
jonogon er somman k korbe tahole???,0,0,0,0,0,0,0,0,0,জনগণ এর সম্মান কে করবে তাহলে???, Who will honor the people???
Akhan theke Shikkha nite hobe,0,0,0,0,0,0,0,0,0,এখান থেকে শিক্ষা নিতে হবে, We have to learn from this.
Er por o....r kisu rohigar thai kare ditha bala uchith govment  k,1,0,0,0,0,0,1,0,0,এর পর ও....আর কিছু রাহিগার থাই করে কথা বলা উচিত সরকার কে,...and some Rahigar Thai should talk to the government
Najim ra pura gorela dar moto dakha jai,0,0,0,0,0,0,0,0,0,নাজিম রা পুরা গোরার মতো দেখা যায়, Nazim looks like a whole Gora.
Sumon tore kotokhani support kortam tui nijeu janti na,0,0,0,0,0,0,0,0,0,সুমন তোরে কতোখানি সাপোর্ট করতাম তুই নিজেও খুশি না," Sumon, how much I supported you, you're not happy"
Allaho hedawot korun Ameen,0,0,0,0,0,0,0,0,0,আল্লাহ হেদায়াত করুন আমিন, May Allah bless you
